student_name,teacher_name,grade,time_in,time_out,what_happened,does_students_behavior_pose_a_safety_risk_to_them_or_others,student_sent_to_administrator,isla_debrief_completed,coached_student_on_appropriate_behavior_skill,practiced_re_connection_conversation_with_you,did_the_student_complete_a_re_connection_card,did_the_student_do_the_re_connection_conversation_with_their_teacher,did_the_student_reenter_the_classroom,if_not_why,minutes_in_office,notes,time_lost,date
Hannah Abbott,Cosmic Boy,7,2019-11-19T13:35:25Z,,[teacher report of what happened],Yes,No,No,Yes,No,No,No,No,Student not ready,,[ISLA facilitator notes],,2019-11-19
Hannah Abbott,Shazam!,7,2020-02-18T10:56:10Z,,,,,,,,,,,,,,,2020-02-18
Ludo Bagman,Batwoman,7,2019-09-19T11:01:07Z,2019-09-19T11:27:53Z,,,,,,,,,,,1899-12-30T00:26:46Z,,26.766666674614,2019-09-19
Ludo Bagman,Hawkeye,7,2019-10-21T12:20:16.:00Z,2019-10-21T12:35:17Z,[teacher report of what happened],No,No,Yes,No,No,No,No,No,Stayed until end of period,1899-12-30T00:15:00Z,,15.0000000079473,2019-10-21
Ludo Bagman,Cosmic Boy,7,2019-11-04T13:57:28Z,2019-11-04T14:22:33Z,,,,,,,,,,,1899-12-30T00:25:05Z,,25.0833333412806,2019-11-04
Ludo Bagman,Cosmic Boy,7,2019-12-05T14:10:53.:00Z,2019-12-05T15:01:10Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:50:16Z,,50.266666674614,2019-12-05
Ludo Bagman,Cosmic Boy,7,2020-01-23T13:43:14Z,2020-01-23T14:07:21Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:24:07Z,,24.1166666666667,2020-01-23
Ludo Bagman,Cosmic Boy,7,2020-01-28T13:20:04Z,2020-01-28T14:09:21Z,[teacher report of what happened],No,No,Yes,Yes,No,Yes,No,No,Stayed until end of period,1899-12-30T00:49:16.:00Z,,49.2833333333333,2020-01-28
Ludo Bagman,Cosmic Boy,7,2020-03-12T12:08:37.:00Z,2020-03-12T12:37:25Z,[teacher report of what happened],No,No,No,Yes,Yes,No,No,No,Stayed until end of period,,,28.7833333412806,2020-03-12
Ludo Bagman,Hawkman,7,2019-09-30T08:25:24Z,2019-09-30T08:49:47Z,[teacher report of what happened],No,No,Yes,Yes,Yes,No,Yes,Yes,,1899-12-30T00:24:23Z,,24.3833333333333,2019-09-30
Bathilda Bagshot,Batwoman,7,2019-10-25T09:52:45Z,2019-10-25T10:12:26Z,[teacher report of what happened],Yes,Yes,Yes,Yes,No,No,No,No,Other,1899-12-30T00:19:41Z,[ISLA facilitator notes],19.6833333333333,2019-10-25
Bathilda Bagshot,Scarlet Witch,7,2019-10-14T13:43:51Z,2019-10-14T13:53:27Z,[teacher report of what happened],No,Yes,Yes,Yes,Yes,No,No,Yes,,1899-12-30T00:09:36Z,,9.6,2019-10-14
Bathilda Bagshot,Scarlet Witch,7,2019-12-09T13:51:21Z,2019-12-09T14:09:34Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:18:12.:00Z,,18.2166666666667,2019-12-09
Bathilda Bagshot,Wasp,7,2019-10-30T08:40:00Z,2019-10-30T08:53:31Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,No,Stayed until end of period,1899-12-30T00:13:31Z,,13.5166666666667,2019-10-30
Bathilda Bagshot,Wasp,7,2020-02-26T08:30:20Z,2020-02-26T09:04:24.:00Z,[teacher report of what happened],No,No,Yes,Yes,No,No,Yes,No,Stayed until end of period,,[ISLA facilitator notes],34.0833333253861,2020-02-26
Bathilda Bagshot,Wasp,7,2020-02-27T14:40:39Z,2020-02-27T15:05:04Z,[teacher report of what happened],Yes,Yes,No,Yes,No,No,No,No,Stayed until end of period,,,24.4166666666667,2020-02-27
Bathilda Bagshot,Wonder Woman,7,2019-11-06T10:53:57Z,2019-11-06T11:14:22Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,No,Stayed until end of period,1899-12-30T00:20:24.:00Z,,20.4166666666667,2019-11-06
Bathilda Bagshot,Cosmic Boy,7,2019-10-24T11:16:39Z,2019-10-24T11:50:52Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,No,Not enough time left in period,1899-12-30T00:34:13Z,,34.2166666666667,2019-10-24
Bathilda Bagshot,Cosmic Boy,7,2020-02-26T12:37:37Z,2020-02-26T13:42:51Z,[teacher report of what happened],No,Yes,No,Yes,Yes,No,No,No,Stayed until end of period,,,65.2333333333333,2020-02-26
Katie Bell,Batwoman,7,2019-10-25T09:54:24Z,2019-10-25T10:23:30Z,[teacher report of what happened],Yes,Yes,Yes,Yes,No,No,No,No,Other,1899-12-30T00:29:06Z,[ISLA facilitator notes],29.1,2019-10-25
Cuthbert Binns,Batwoman,7,2019-10-29T13:56:58Z,2019-10-29T14:14:46Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:17:48Z,,17.8,2019-10-29
Cuthbert Binns,Batwoman,7,2020-01-13T14:51:22Z,2020-01-13T15:00:24Z,[teacher report of what happened],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:09:01.:00Z,,9.03333332538605,2020-01-13
Cuthbert Binns,Batwoman,7,2020-01-22T09:15:46Z,,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,,[ISLA facilitator notes],,2020-01-22
Cuthbert Binns,Batwoman,7,2020-01-28T08:35:05Z,2020-01-28T09:09:14Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:34:09Z,[ISLA facilitator notes],34.15,2020-01-28
Cuthbert Binns,Scarlet Witch,7,2019-11-19T11:18:37Z,2019-11-19T11:50:22Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Other,1899-12-30T00:31:45Z,[ISLA facilitator notes],31.75,2019-11-19
Cuthbert Binns,Scarlet Witch,7,2019-11-26T12:10:41Z,2019-11-26T12:32:40Z,[teacher report of what happened],No,Yes,Yes,Yes,No,No,No,No,Student not ready,1899-12-30T00:21:58.:00Z,,21.9833333333333,2019-11-26
Cuthbert Binns,Scarlet Witch,7,2020-02-07T14:04:07.:00Z,2020-02-07T14:09:09Z,[teacher report of what happened],,,,,,,,,,1899-12-30T00:05:01Z,,5.01666668256124,2020-02-07
Cuthbert Binns,Black Lightning,7,2020-02-18T14:25:36Z,2020-02-18T14:54:22Z,[teacher report of what happened],No,No,No,No,No,No,No,No,,1899-12-30T00:28:46Z,[ISLA facilitator notes],28.7666666587194,2020-02-18
Cuthbert Binns,Black Canary,7,2019-11-27T10:42:06Z,2019-11-27T11:15:45Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Student not ready,1899-12-30T00:33:39Z,,33.65,2019-11-27
Cuthbert Binns,Black Canary,7,2020-03-05T14:16:12Z,2020-03-05T14:37:30Z,,,,,,,,,,,,,21.3,2020-03-05
Cuthbert Binns,Cosmic Boy,7,2019-10-24T11:35:24.:00Z,2019-10-24T11:53:43Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,No,Not enough time left in period,1899-12-30T00:18:18Z,,18.3000000079473,2019-10-24
Cuthbert Binns,Cosmic Boy,7,2019-11-05T13:46:29Z,2019-11-05T14:15:30Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:29:01Z,,29.0166666666667,2019-11-05
Cuthbert Binns,Cosmic Boy,7,2019-11-13T13:32:47Z,2019-11-13T14:18:46Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,No,Student not ready,1899-12-30T00:45:59Z,[ISLA facilitator notes],45.9833333333333,2019-11-13
Cuthbert Binns,Cosmic Boy,7,2019-11-26T13:57:31Z,2019-11-26T14:23:15Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Student not ready,1899-12-30T00:25:44Z,,25.7333333333333,2019-11-26
Cuthbert Binns,Cosmic Boy,7,2019-12-06T14:49:17Z,2019-12-06T15:08:37Z,,No,No,No,Yes,No,No,No,No,Student not ready,1899-12-30T00:19:20Z,,19.3333333333333,2019-12-06
Cuthbert Binns,Cosmic Boy,7,2020-01-21T13:50:00Z,,[teacher report of what happened],No,No,No,Yes,No,Yes,No,No,Stayed until end of period,,,,2020-01-21
Cuthbert Binns,Cosmic Boy,7,2020-01-22T14:20:50.:00Z,2020-01-22T14:22:11Z,,,,,,,,,,,1899-12-30T00:01:20Z,,1.33333334128062,2020-01-22
Cuthbert Binns,Cosmic Boy,7,2020-01-28T13:29:42Z,2020-01-28T14:19:08Z,,,,,,,,,,,1899-12-30T00:49:26Z,,49.4333333333333,2020-01-28
Cuthbert Binns,Cosmic Boy,7,2020-03-03T11:22:08.:00Z,2020-03-03T11:38:05Z,[teacher report of what happened],No,No,No,No,No,No,No,Yes,,,,15.9333333412806,2020-03-03
Cuthbert Binns,Cosmic Boy,7,2020-03-06T11:40:07Z,,,,,,,,,,,,,,,2020-03-06
Cuthbert Binns,Shazam!,7,2019-12-04T14:50:11Z,2019-12-04T15:06:25Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,,1899-12-30T00:16:14Z,,16.2333333333333,2019-12-04
Cuthbert Binns,Catwoman,7,2019-11-19T12:05:24Z,2019-11-19T12:30:24Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Other,1899-12-30T00:25:00Z,[ISLA facilitator notes],24.9999999920527,2019-11-19
Cuthbert Binns,Incredible Hulk,7,2019-12-17T14:29:26Z,2019-12-17T15:07:54Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Teacher not ready,1899-12-30T00:38:28Z,,38.4666666666667,2019-12-17
Phineas Nigellus Black,Batwoman,7,2020-01-21T12:17:10Z,2020-01-21T12:25:10Z,[teacher report of what happened],No,No,Yes,Yes,Yes,No,Yes,Yes,,1899-12-30T00:08:00Z,,8.00000000794729,2020-01-21
Phineas Nigellus Black,Black Lightning,7,2019-09-12T11:59:00Z,,[teacher report of what happened],No,No,No,No,No,No,No,No,Stayed until end of period,,[ISLA facilitator notes],,2019-09-12
Phineas Nigellus Black,Black Lightning,7,2019-09-17T11:12:48Z,2019-09-17T12:01:18Z,[teacher report of what happened],No,Yes,Yes,Yes,No,No,No,Yes,,1899-12-30T00:48:30Z,[ISLA facilitator notes],48.5,2019-09-17
Phineas Nigellus Black,Black Lightning,7,2019-09-19T11:52:08Z,2019-09-19T11:56:00Z,[teacher report of what happened],No,No,No,No,No,No,No,No,Other,1899-12-30T00:03:51.:00Z,[ISLA facilitator notes],3.86666665871938,2019-09-19
Phineas Nigellus Black,Black Lightning,7,2019-09-19T11:59:12.:00Z,2019-09-19T15:09:24Z,[teacher report of what happened],No,Yes,No,Yes,No,No,No,No,ISS,1899-12-30T03:10:11Z,[ISLA facilitator notes],190.183333341281,2019-09-19
Phineas Nigellus Black,Black Lightning,7,2019-09-30T11:42:13Z,2019-09-30T12:02:25Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:20:12Z,[ISLA facilitator notes],20.2,2019-09-30
Phineas Nigellus Black,Black Lightning,7,2019-12-03T11:43:01Z,2019-12-03T12:39:40Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:56:39Z,[ISLA facilitator notes],56.65,2019-12-03
Phineas Nigellus Black,Wasp,7,2019-12-16T13:46:51Z,2019-12-16T13:58:17Z,,,,,,Yes,Yes,Yes,Yes,,1899-12-30T00:11:26Z,[ISLA facilitator notes],11.4333333333333,2019-12-16
Phineas Nigellus Black,Wasp,7,2020-02-12T11:00:12Z,,,,,,,,,,,,,,,2020-02-12
Phineas Nigellus Black,Wasp,7,2020-03-11T10:42:17Z,2020-03-11T11:24:52.:00Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,42.5999999920527,2020-03-11
Phineas Nigellus Black,Wolverine,7,2019-09-16T10:47:44Z,2019-09-16T11:42:08Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Not enough time left in period,1899-12-30T00:54:24Z,[ISLA facilitator notes],54.4,2019-09-16
Phineas Nigellus Black,Wonder Woman,7,2019-09-23T14:20:42Z,2019-09-23T14:42:06Z,,No,No,Yes,Yes,Yes,No,No,Yes,,1899-12-30T00:21:23.:00Z,,21.4,2019-09-23
Phineas Nigellus Black,Wonder Woman,7,2020-03-03T11:15:16Z,2020-03-03T11:49:49Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,,,34.55,2020-03-03
Phineas Nigellus Black,Spider-Man,7,2019-12-05T08:39:31Z,2019-12-05T15:12:19Z,[teacher report of what happened],Yes,Yes,No,Yes,No,No,No,No,ISS,1899-12-30T06:32:48Z,,392.8,2019-12-05
Phineas Nigellus Black,Black Canary,7,2019-09-16T12:12:42Z,2019-09-16T12:45:46Z,[teacher report of what happened],Yes,Yes,No,No,No,No,No,No,Student not ready,1899-12-30T00:33:04Z,[ISLA facilitator notes],33.0666666666667,2019-09-16
Phineas Nigellus Black,Black Canary,7,2019-10-02T11:19:41Z,2019-10-02T12:05:41Z,[teacher report of what happened],Yes,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:45:59.:00Z,,45.9999999920527,2019-10-02
Phineas Nigellus Black,Black Canary,7,2020-03-03T13:07:11Z,,[teacher report of what happened],No,No,No,No,No,No,No,No,,,,,2020-03-03
Phineas Nigellus Black,Cyclops,7,,2019-12-12T12:31:04.:00Z,,,,,,,,,,,,,,
Phineas Nigellus Black,Shazam!,7,2019-12-04T09:09:38Z,2019-12-04T09:31:50.:00Z,,,,,Yes,No,No,No,No,Student not ready,1899-12-30T00:22:13Z,[ISLA facilitator notes],22.2166666587194,2019-12-04
Phineas Nigellus Black,Jean Grey,7,2019-11-13T12:25:04Z,2019-11-13T12:55:00Z,,,,,,No,No,No,Yes,,1899-12-30T00:29:56Z,[ISLA facilitator notes],29.9333333333333,2019-11-13
Sirius Black,Batwoman,7,2020-01-23T14:00:54Z,2020-01-23T14:22:00.:00Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,Yes,,1899-12-30T00:21:06.:00Z,,21.1166666507721,2020-01-23
Sirius Black,Hawkman,7,2020-02-05T13:32:17Z,2020-02-05T14:05:52Z,[teacher report of what happened],Yes,Yes,No,Yes,No,No,No,No,ISS,1899-12-30T00:33:35Z,,33.5833333333333,2020-02-05
Sirius Black,Shazam!,7,2020-02-18T08:27:28Z,2020-02-18T08:42:51Z,[teacher report of what happened],No,No,Yes,Yes,No,No,Yes,Yes,,1899-12-30T00:15:23Z,[ISLA facilitator notes],15.3833333333333,2020-02-18
Walburga Black,Batwoman,7,2020-01-23T14:21:28Z,2020-01-23T15:05:44Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:44:16Z,,44.2666666666667,2020-01-23
Walburga Black,Hawkgirl,7,2019-12-11T09:48:41Z,2019-12-11T09:56:49Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:08:07.:00Z,,8.13333333333333,2019-12-11
Walburga Black,Superman,7,2019-11-15T08:45:42Z,2019-11-15T08:57:43Z,[teacher report of what happened],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:12:01Z,,12.0166666666667,2019-11-15
Walburga Black,Nick Fury,7,2019-12-20T08:29:45Z,2019-12-20T15:04:51Z,[teacher report of what happened],No,Yes,Yes,Yes,No,No,No,Yes,,1899-12-30T06:35:06Z,,395.1,2019-12-20
Walburga Black,Cosmic Boy,7,2019-11-05T14:00:35Z,2019-11-05T14:16:01Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:15:25.:00Z,,15.4333333333333,2019-11-05
Walburga Black,Cosmic Boy,7,2019-12-05T13:21:21Z,2019-12-05T13:58:30Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,Yes,,1899-12-30T00:37:09Z,,37.15,2019-12-05
Walburga Black,Cosmic Boy,7,2019-12-06T13:53:29Z,2019-12-06T14:12:26Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:18:57Z,,18.95,2019-12-06
Walburga Black,Cosmic Boy,7,2019-12-09T12:18:05Z,2019-12-09T12:41:07Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,,1899-12-30T00:23:02Z,,23.033333325386,2019-12-09
Walburga Black,Cosmic Boy,7,2020-01-23T13:48:21Z,2020-01-23T14:11:43Z,[teacher report of what happened],No,No,Yes,Yes,No,Yes,No,No,Stayed until end of period,1899-12-30T00:23:21.:00Z,,23.3666666587194,2020-01-23
Amelia Bones,Batwoman,7,2020-01-27T11:09:31Z,2020-01-27T15:07:37Z,[teacher report of what happened],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,ISS,1899-12-30T03:58:06Z,,238.1,2020-01-27
Amelia Bones,Batwoman,7,2020-02-20T11:59:26Z,2020-02-20T12:37:24Z,[teacher report of what happened],No,Yes,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:37:58Z,,37.966666674614,2020-02-20
Amelia Bones,Scarlet Witch,7,2019-10-17T14:09:38Z,2019-10-17T14:59:53Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:50:15Z,,50.2500000079473,2019-10-17
Amelia Bones,Superman,7,2020-01-29T10:08:57Z,,[teacher report of what happened],Yes,Yes,Yes,Yes,No,No,No,No,ISS,,,,2020-01-29
Amelia Bones,Hawkeye,7,2019-10-02T14:41:29Z,2019-10-02T15:00:29Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,Yes,,1899-12-30T00:19:00Z,,19,2019-10-02
Amelia Bones,Hawkeye,7,2019-10-08T13:49:12Z,2019-10-08T14:15:12Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:26:00Z,,26.0000000079473,2019-10-08
Amelia Bones,Cosmic Boy,7,2020-02-07T14:07:57Z,2020-02-07T14:13:04Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:05:07Z,,5.11666666666667,2020-02-07
Amelia Bones,Cosmic Boy,7,2020-02-11T13:42:00Z,2020-02-11T14:12:34Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,No,Stayed until end of period,1899-12-30T00:30:34Z,,30.5666666666667,2020-02-11
Amelia Bones,Cosmic Boy,7,2020-03-03T13:45:07Z,2020-03-03T15:06:03Z,[teacher report of what happened],Yes,Yes,Yes,Yes,No,No,No,No,ISS,,,80.9333333333333,2020-03-03
Amelia Bones,Cosmic Boy,7,2020-03-04T08:29:12Z,2020-03-04T15:05:40Z,[teacher report of what happened],No,No,No,No,No,No,No,No,ISS,,,396.466666674614,2020-03-04
Amelia Bones,Shazam!,7,2019-12-19T10:22:50Z,2019-12-19T10:36:33Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,Yes,Yes,,1899-12-30T00:13:43Z,,13.7166666666667,2019-12-19
Amelia Bones,Shazam!,7,2020-02-10T14:46:17Z,2020-02-10T14:52:24Z,[teacher report of what happened],No,No,No,Yes,Yes,No,No,Yes,,1899-12-30T00:06:07Z,,6.11666667461395,2020-02-10
Susan Bones,Batwoman,7,2020-02-20T12:03:31Z,2020-02-20T12:36:59Z,[teacher report of what happened],No,Yes,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:33:28Z,,33.4666666587194,2020-02-20
Susan Bones,Black Lightning,7,2019-12-06T12:01:21Z,2019-12-06T13:47:04Z,[teacher report of what happened],No,Yes,Yes,Yes,No,No,No,No,,1899-12-30T01:45:43Z,[ISLA facilitator notes],105.716666666667,2019-12-06
Susan Bones,Wasp,7,2019-11-06T14:27:33Z,2019-11-06T15:05:54Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:38:21Z,[ISLA facilitator notes],38.35,2019-11-06
Susan Bones,Wasp,7,2020-02-26T08:31:02Z,2020-02-26T08:57:30.:00Z,[teacher report of what happened],No,No,Yes,Yes,No,No,Yes,No,Stayed until end of period,,[ISLA facilitator notes],26.4833333253861,2020-02-26
Terry Boot,Batwoman,7,2020-02-20T12:32:41Z,2020-02-20T12:38:48Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:06:06.:00Z,,6.11666666666667,2020-02-20
Terry Boot,Scarlet Witch,7,2020-02-07T12:19:37Z,2020-02-07T12:35:37Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:16:00Z,,16,2020-02-07
Terry Boot,Scarlet Witch,7,2020-03-04T12:24:23Z,2020-03-04T12:53:10.:00Z,,,,,,,,,,,,,28.7999999920527,2020-03-04
Terry Boot,Black Lightning,7,2019-11-04T11:54:17Z,2019-11-04T12:36:41Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:42:24Z,,42.4,2019-11-04
Terry Boot,Wolverine,7,2019-10-31T11:51:37Z,2019-10-31T12:12:04Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,No,Stayed until end of period,1899-12-30T00:20:27Z,,20.45,2019-10-31
Terry Boot,Hawkeye,7,2019-12-16T11:16:48Z,2019-12-16T11:57:13Z,[teacher report of what happened],No,No,No,No,No,No,No,No,Stayed until end of period,1899-12-30T00:40:25Z,[ISLA facilitator notes],40.4166666666667,2019-12-16
Lavender Brown,Batwoman,7,2020-03-10T13:21:35.:00Z,2020-03-10T13:43:44Z,,Yes,Yes,No,Yes,No,No,No,Yes,,,,22.1333333492279,2020-03-10
Millicent Bulstrode,Batwoman,7,2020-03-10T14:13:15Z,2020-03-10T14:20:38Z,,Yes,Yes,No,Yes,No,No,No,Yes,,,,7.38333333333333,2020-03-10
Millicent Bulstrode,Scarlet Witch,7,2019-11-01T11:21:00Z,2019-11-01T11:53:31Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:32:31Z,,32.5166666666667,2019-11-01
Millicent Bulstrode,Wonder Woman,7,2019-12-06T10:20:47Z,2019-12-06T10:59:19Z,[teacher report of what happened],No,No,Yes,Yes,Yes,Yes,No,No,Not enough time left in period,1899-12-30T00:38:32Z,[ISLA facilitator notes],38.5333333333333,2019-12-06
Millicent Bulstrode,Wonder Woman,7,2020-01-09T10:08:48Z,2020-01-09T12:35:48Z,[teacher report of what happened],No,No,,,,,,,,1899-12-30T02:27:00Z,,147,2020-01-09
Millicent Bulstrode,Wonder Woman,7,2020-01-23T10:36:07Z,2020-01-23T10:55:16Z,[teacher report of what happened],No,No,No,Yes,No,No,No,Yes,,1899-12-30T00:19:08.:00Z,,19.1499999920527,2020-01-23
Millicent Bulstrode,Wonder Woman,7,2020-01-29T11:03:06Z,2020-01-29T11:15:14.:00Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:12:08.:00Z,,12.1499999841054,2020-01-29
Millicent Bulstrode,Wonder Woman,7,2020-02-04T13:50:40Z,2020-02-04T14:10:58Z,[teacher report of what happened],No,No,No,Yes,No,No,No,No,Stayed until end of period,1899-12-30T00:20:18Z,,20.3,2020-02-04
Millicent Bulstrode,Wonder Woman,7,2020-02-21T13:49:38Z,2020-02-21T14:11:39Z,[teacher report of what happened],No,No,Yes,Yes,No,No,No,No,Stayed until end of period,,,22.0166666666667,2020-02-21
Millicent Bulstrode,Hawkman,7,2020-01-22T13:34:55Z,,[teacher report of what happened],,,,,,,,,,,,,2020-01-22
Millicent Bulstrode,Hawkman,7,2020-02-19T12:09:52.:00Z,2020-02-19T12:49:59.:00Z,[teacher report of what happened],No,,No,,,,,,,1899-12-30T00:40:07Z,,40.1166666666667,2020-02-19
Charity Burbage,Captain Marvel,8,2019-09-05T13:04:06.:00Z,,[teacher report of what happened],No,No,No,Yes,No,No,No,Yes,,,,,2019-09-05
Frank Bryce,Captain Marvel,8,2019-09-10T09:29:29Z,,[teacher report of what happened],No,Yes,No,Yes,No,No,No,No,ISS,,[ISLA facilitator notes],,2019-09-10
Frank Bryce,Vision,8,2019-09-09T08:22:14Z,2019-09-09T09:28:28Z,[teacher report of what happened],Yes,Yes,No,Yes,No,No,Yes,Yes,,1899-12-30T01:06:14Z,[ISLA facilitator notes],66.233333325386,2019-09-09
Frank Bryce,Vision,8,2019-09-27T12:33:29Z,2019-09-27T13:10:10Z,[teacher report of what happened],Yes,Yes,Yes,Yes,Yes,Yes,No,No,Stayed until end of period,1899-12-30T00:36:41Z,,36.6833333412806,2019-09-27
Frank Bryce,Zatana,8,2019-09-24T13:49:21Z,2019-09-24T14:31:45Z,[teacher report of what happened],No,Yes,No,Yes,No,No,No,Yes,,1899-12-30T00:42:24Z,[ISLA facilitator notes],42.4,2019-09-24
Frank Bryce,Spider-Man,8,2019-09-27T10:26:57Z,2019-09-27T11:24:31Z,[teacher report of what happened],No,Yes,Yes,Yes,Yes,No,No,No,Other,1899-12-30T00:57:34Z,[ISLA facilitator notes],57.5666666666667,2019-09-27
